MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Detroit (2017),7.4,111,"597,920"
The Party (2017),6.7,42,"257,045"
Kingsman: The Golden Circle (2017),6.9,,
SpaceCamp (1986),5.6,8,"42,218"
Terminator 2 (1991),8.5,550,"429,453"
Better Watch Out (2016),6.5,48,"198,061"
Jumanji (1995),6.9,366,"326,734"
Love Finds You in Charm (2015),6.5,13,"67,670"
The Yakuza (1974),7.3,16,"80,194"
1 Buck (2017),6 ,25,"162,913"
Hickok (2017),4.8,18,"120,291"
Gook (2017),7.1,13,"106,656"
Germinal (1993),7.1,15,"50,601"
The Mist (2007),7.2,290,"388,962"
Wish for Christmas (2016),6.2,7,"88,072"
Love Finds You in Valentine (2016),6.4,10,"76,659"
All Saints (2017),5.8,16,"71,003"
Jungle (2017),6.7,300,"807,091"
It Happened to Jane (1959),6.6,4,"40,905"
Captain Corelli's Mandolin (2001),5.9,,
Animal Factory (2000),6.6,6,"48,884"
How to Make an American Quilt (1995),6.2,15,"29,795"
Ghoulies II (1988),4.3,9,"25,553"
All the King's Men (2006),6.2,,
Batman vs. Two-Face (2017),6.1,,
A Princess for Christmas (2011),6.5,13,"69,791"
The Good Neighbor (2016),6.3,30,"137,663"
American Assassin (2017),6.2,166,"1,165,540"
The Snow Queen 3 (2016),6.6,30,"180,689"
Cars 3 (2017),6.8,505,"1,505,405"
Super Dark Times (2017),6.6,63,"229,876"
The Hitman's Bodyguard (2017),6.9,,
Rememory (2017),6.2,89,"296,738"
Beta Test (2016),5.9,26,"180,083"
Valerian and the City of a Thousand Planets (2017),6.5,393,"1,117,363"
Kinky Boots (2005),7.1,22,"88,880"
